#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	CPU Voltage(V)	CPU Power(W)	L1_DATA_CACHE_ACCESS	CPU_CYCLES	L1_INSTR_CACHE_ACCESS	BUS_CYCLES	BUS_ACCESS_PERIPHERAL	BRANCH_SPECULATIVELY_EXECUTED_PROCEDURE_RETURN
12877 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.003147 0.007480 0.003661 0.007571 0.000001 0.000107 
12987 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001872 0.004904 0.002194 0.005009 0.000001 0.000142 
13100 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000886 0.003691 0.001275 0.003759 0.000001 0.000081 
13209 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.000702 0.002977 0.001026 0.003034 0.000001 0.000068 
13319 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001653 0.005152 0.002276 0.005209 0.000001 0.000115 
13429 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.002654 0.006580 0.003106 0.006637 0.000001 0.000095 
13539 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000817 0.003396 0.001184 0.003467 0.000001 0.000074 
13649 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000561 0.002230 0.000831 0.002294 0.000001 0.000059 
13759 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000810 0.003484 0.001192 0.003547 0.000001 0.000077 
13869 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001702 0.004203 0.001958 0.004265 0.000001 0.000131 
13984 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002504 0.006494 0.002978 0.006591 0.000001 0.000100 
14094 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.001913 0.004560 0.002237 0.004618 0.000001 0.000073 
14203 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002251 0.005309 0.002601 0.005370 0.000001 0.000078 
14314 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002960 0.006747 0.003391 0.006807 0.000001 0.000099 
14426 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000538 0.002180 0.000790 0.002242 0.000001 0.000057 
14537 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002000 0.004797 0.002332 0.004855 0.000001 0.000075 
14647 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000841 0.002591 0.001099 0.002661 0.000001 0.000059 
14758 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000744 0.003262 0.001076 0.003355 0.000001 0.000070 
14869 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000622 0.002564 0.000913 0.002621 0.000001 0.000061 
14979 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000631 0.002673 0.000924 0.002728 0.000001 0.000062 
15088 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.001548 0.003769 0.001777 0.003824 0.000001 0.000118 
15199 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000643 0.002613 0.000941 0.002707 0.000001 0.000068 
15311 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000642 0.002765 0.094578 0.239127 0.000050 0.005529 
15421 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001289 0.005496 0.001930 0.005572 0.000002 0.000127 
15532 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002336 0.008887 0.002998 0.008972 0.000003 0.000186 
15641 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.003818 0.010298 0.004586 0.010360 0.000002 0.000154 
15752 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001250 0.003510 0.001555 0.003573 0.000001 0.000066 
15862 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.140311 0.339107 0.156152 0.339207 0.000012 0.006076 
15972 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000758 0.003235 0.001072 0.003339 0.000000 0.000079 
16083 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.006878 0.015924 0.007806 0.015992 0.000003 0.000272 
16196 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002078 0.005027 0.002419 0.005090 0.000001 0.000077 
16306 consumer_jpeg_d 1 204 24 0.842000 0.308000  0.001026 0.002845 0.001274 0.002899 0.000001 0.000056 
16416 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002410 0.005816 0.002783 0.005870 0.000001 0.000089 
16526 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001546 0.003821 0.001779 0.003885 0.000001 0.000121 
16636 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002073 0.004572 0.002328 0.004643 0.000001 0.000120 
16747 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000891 0.002910 0.001204 0.002990 0.000001 0.000080 
16857 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000752 0.003097 0.001102 0.003221 0.000001 0.000068 
16968 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001728 0.004141 0.001980 0.004194 0.000001 0.000120 
17080 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001415 0.003962 0.001748 0.004023 0.000001 0.000069 
17192 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000546 0.002197 0.000801 0.002246 0.000001 0.000053 
17302 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001506 0.003708 0.001737 0.003763 0.000001 0.000114 
17412 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001533 0.003792 0.001758 0.003841 0.000001 0.000114 
17523 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001571 0.004030 0.001840 0.004116 0.000001 0.000121 
17635 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000646 0.002659 0.000938 0.002707 0.000001 0.000066 
17747 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002143 0.005205 0.002511 0.005288 0.000001 0.000078 
17857 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002316 0.005206 0.002482 0.005280 0.000001 0.000141 
17967 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.000437 0.001729 0.000642 0.001778 0.000001 0.000047 
18078 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000464 0.001878 0.000689 0.001930 0.000001 0.000050 
18189 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000665 0.002757 0.000964 0.002818 0.000001 0.000064 
18303 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000554 0.002370 0.000831 0.002418 0.000001 0.000057 
18412 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000702 0.003003 0.001039 0.003051 0.000001 0.000068 
18523 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001378 0.003846 0.001707 0.003902 0.000001 0.000067 
18633 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001923 0.005011 0.002289 0.005064 0.000001 0.000082 
18746 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.002265 0.005263 0.002603 0.005352 0.000001 0.000078 
18856 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000390 0.001532 0.000579 0.001587 0.000001 0.000043 
18966 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000680 0.002974 0.000991 0.003020 0.000001 0.000066 
19075 consumer_jpeg_d 1 204 25 0.842000 0.386000  0.001639 0.004091 0.001942 0.004137 0.000001 0.000065 
19186 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001423 0.003558 0.001648 0.003609 0.000001 0.000110 
19297 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.341999 0.808988 0.382239 0.809233 0.000025 0.011305 
19408 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.003820 0.010057 0.004377 0.010138 0.000002 0.000198 
19519 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001833 0.004360 0.002130 0.004416 0.000001 0.000067 
19630 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.001208 0.003189 0.001474 0.003242 0.000001 0.000057 
19740 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001961 0.004635 0.002293 0.004740 0.000001 0.000069 
19851 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002373 0.005349 0.002656 0.005402 0.000001 0.000119 
19961 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001214 0.003354 0.001501 0.003409 0.000001 0.000059 
20072 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001989 0.004823 0.002322 0.004868 0.000001 0.000070 
20178 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001375 0.004118 0.001622 0.004138 0.000001 0.000071 
20287 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000364 0.001440 0.000563 0.001520 0.000001 0.000041 
20397 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000906 0.002370 0.001098 0.002447 0.000001 0.000079 
20507 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000586 0.002218 0.000823 0.002281 0.000001 0.000052 
20623 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001882 0.004953 0.002269 0.005008 0.000001 0.000079 
20735 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002246 0.005466 0.002623 0.005518 0.000001 0.000077 
20845 consumer_jpeg_d 1 204 25 0.842000 0.463000  0.000510 0.002097 0.000753 0.002149 0.000001 0.000049 
20958 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000919 0.173468 0.068093 0.173541 0.000038 0.003934 
21070 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001964 0.005615 0.002450 0.005666 0.000002 0.000099 
21182 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000475 0.002025 0.000701 0.002078 0.000001 0.000046 
21293 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000610 0.002572 0.000887 0.002621 0.000001 0.000058 
21406 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000531 0.002207 0.000777 0.002257 0.000001 0.000051 
21516 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.001680 0.004525 0.002016 0.004570 0.000001 0.000070 
21626 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000489 0.002110 0.000724 0.002165 0.000001 0.000048 
21738 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.084084 0.207680 0.094919 0.207816 0.000007 0.003232 
21849 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000707 0.002872 0.001026 0.003007 0.000000 0.000080 
21957 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.004146 0.009169 0.004667 0.009320 0.000000 0.000136 
22066 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001482 0.004354 0.001867 0.004487 0.000000 0.000097 
22177 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.023416 0.059121 0.025341 0.059135 0.000010 0.001257 
22288 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.007954 0.021647 0.009626 0.021716 0.000005 0.000328 
22400 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.001272 0.003983 0.001535 0.004029 0.000001 0.000088 
22511 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002176 0.004965 0.002486 0.005041 0.000001 0.000069 
22623 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000469 0.001965 0.000707 0.002014 0.000001 0.000048 
22733 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002160 0.005337 0.002505 0.005380 0.000001 0.000075 
